noms,notes,adresse,lien
Restaurant Brasserie La Tour,"4,4","193 Rue de Bercy, 75012 Paris ","https://www.google.com/maps/place/Restaurant+Brasserie+La+Tour,+cuisine+traditionnelle,+Paris+Gare+De+Lyon+,+Galerie+Gamma/data=!4m7!3m6!1s0x47e6721b1340fa1f:0x901a8bda8b993497!8m2!3d48.8437217!4d2.3728255!16s%2Fg%2F1td57y9g!19sChIJH_pAExty5kcRlzSZi9qLGpA?authuser=0&hl=fr&rclk=1"
Duc de Richelieu - Restaurant Gare de Lyon,"3,9","Gare de lyon, 5 Rue Parrot, 75012 Paris ",https://www.google.com/maps/place/Duc+de+Richelieu+-+Restaurant+Gare+de+Lyon/data=!4m7!3m6!1s0x47e67204956d0f81:0xc7950f2166fecb6e!8m2!3d48.846901!4d2.373042!16s%2Fg%2F1thw60zt!19sChIJgQ9tlQRy5kcRbsv-ZiEPlcc?authuser=0&hl=fr&rclk=1
Avocateria Gare de Lyon,"4,7","5 Rue Michel Chasles, 75012 Paris ",https://www.google.com/maps/place/Avocateria+Gare+de+Lyon/data=!4m7!3m6!1s0x47e673a3cc1f0a1b:0x2c3fb5969a77bf5a!8m2!3d48.846387!4d2.3737005!16s%2Fg%2F11sx55kp_7!19sChIJGwofzKNz5kcRWr93mpa1Pyw?authuser=0&hl=fr&rclk=1
Bistrot de la Gare,"4,0","1 Rue de Lyon, 75012 Paris ",https://www.google.com/maps/place/Bistrot+de+la+Gare/data=!4m7!3m6!1s0x47e67370cd09dc35:0xf2a6dc3b0d74925!8m2!3d48.8458623!4d2.3719796!16s%2Fg%2F11hdx_gv9y!19sChIJNdwJzXBz5kcRJUnXsMNtKg8?authuser=0&hl=fr&rclk=1
L%27Europ%C3%A9en,"4,0","21 bis Bd Diderot, 75012 Paris ",https://www.google.com/maps/place/L%27Europ%C3%A9en/data=!4m7!3m6!1s0x47e67204b408c41b:0x3746888953768fda!8m2!3d48.8459367!4d2.3726735!16s%2Fg%2F1pxywh2x_!19sChIJG8QItARy5kcR2o92U4mIRjc?authuser=0&hl=fr&rclk=1
Kitchen %26 Bar @Gare de Lyon,"4,2","209-211 Rue de Bercy, 75012 Paris ",https://www.google.com/maps/place/Kitchen+%26+Bar+@Gare+de+Lyon/data=!4m7!3m6!1s0x47e673420b29cf83:0xe48be02a2794c5bf!8m2!3d48.8450789!4d2.3712402!16s%2Fg%2F11h27rrqwt!19sChIJg88pC0Jz5kcRv8WUJyrgi-Q?authuser=0&hl=fr&rclk=1
Bistro Lyonnais,"4,4","6 Rue Michel Chasles, 75012 Paris ",https://www.google.com/maps/place/Bistro+Lyonnais/data=!4m7!3m6!1s0x47e67204dcead01f:0xfe0204baed49db1d!8m2!3d48.8466212!4d2.3740311!16s%2Fg%2F1tg9mfxm!19sChIJH9Dq3ARy5kcRHdtJ7boEAv4?authuser=0&hl=fr&rclk=1
D%C3%A9p%C3%B4t L%C3%A9gal Gare de Lyon,"4,3","Pl. Louis Armand, 75012 Paris ",https://www.google.com/maps/place/D%C3%A9p%C3%B4t+L%C3%A9gal+Gare+de+Lyon/data=!4m7!3m6!1s0x47e673f1db7f37fb:0x16f9014827e21c35!8m2!3d48.8446682!4d2.3750505!16s%2Fg%2F11tn567xxv!19sChIJ-zd_2_Fz5kcRNRziJ0gB-RY?authuser=0&hl=fr&rclk=1
Le Train Bleu,"4,3","Gare de Lyon, Pl. Louis Armand hall 1, 75012 Paris ",https://www.google.com/maps/place/Le+Train+Bleu/data=!4m7!3m6!1s0x47e6721cacf6ebcd:0x1b31949fc986c062!8m2!3d48.8448989!4d2.3732694!16s%2Fm%2F03bx3ck!19sChIJzev2rBxy5kcRYsCGyZ-UMRs?authuser=0&hl=fr&rclk=1
Taj Mahal,"4,6","17 Rue d'Austerlitz, 75012 Paris ",https://www.google.com/maps/place/Taj+Mahal/data=!4m7!3m6!1s0x47e6732aa40d63c3:0xc99650eae16e18c5!8m2!3d48.8472219!4d2.3707708!16s%2Fg%2F11lfgnn5cj!19sChIJw2MNpCpz5kcRxRhu4epQlsk?authuser=0&hl=fr&rclk=1
Pret A Manger Paris Gare de Lyon,"3,7","Face Voie A, Place Louis-Armand Triangle d'Or, Hall 1, 75012 Paris ",https://www.google.com/maps/place/Pret+A+Manger+Paris+Gare+de+Lyon/data=!4m7!3m6!1s0x47e6721b3b3e90f9:0x1965f67588dfba5b!8m2!3d48.8447!4d2.3736!16s%2Fg%2F11bxgn4j67!19sChIJ-ZA-Oxty5kcRW7rfiHX2ZRk?authuser=0&hl=fr&rclk=1
Croq%27 Michel - Paris Gare de Lyon,"3,2","Pl. Louis Armand, 75012 Paris ",https://www.google.com/maps/place/Croq%27+Michel+-+Paris+Gare+de+Lyon/data=!4m7!3m6!1s0x47e673767fca2e3d:0x4d149d67281c1ff0!8m2!3d48.8445975!4d2.3757831!16s%2Fg%2F11q1gmq_34!19sChIJPS7Kf3Zz5kcR8B8cKGedFE0?authuser=0&hl=fr&rclk=1
